,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
1531,megasena,1198.0,21/07/2010,"Caminhão da Sorte em IPAMERI, GO","['29', '22', '36', '58', '41', '48']","['22', '29', '36', '41', '48', '58']",[],--,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 52, 'valorPremio': 26438.48}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3708, 'valorPremio': 529.66}]",[],,1.0,1199.0,24/07/2010,[],23482624.0,6545499.62,28395924.5,6850881.31,9500000.0
1537,megasena,2156.0,01/06/2019,"Caminhão da Sorte em SALVADOR, BA","['49', '39', '23', '06', '26', '01']","['01', '06', '23', '26', '39', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 91, 'valorPremio': 40927.21}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7556, 'valorPremio': 704.14}]",[],,1.0,2157.0,05/06/2019,[],64598138.5,7957184.97,47224673.09,54961340.62,63000000.0
1541,megasena,2440.0,31/12/2021,"ESTÚDIO DE TV REDE GLOBO/SP em SÃO PAULO, SP","['46', '32', '15', '12', '23', '33']","['12', '15', '23', '32', '33', '46']",[],,N/A,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 189062363.74}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 1712, 'valorPremio': 50861.33}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 143494, 'valorPremio': 866.88}]",[],,0.0,2441.0,05/01/2022,"[{'ganhadores': 1, 'municipio': 'CABO FRIO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}, {'ganhadores': 1, 'municipio': 'CAMPINAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",1510256529.0,0.0,0.0,0.0,3000000.0
1546,megasena,2001.0,03/01/2018,"CAMINHÃO DA SORTE em CAMBORIÚ, SC","['22', '20', '52', '60', '42', '36']","['20', '22', '36', '42', '52', '60']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 12, 'valorPremio': 85088.83}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 1214, 'valorPremio': 1201.53}]",[],,1.0,2002.0,06/01/2018,[],17710070.0,1182286.98,268701.61,1880911.11,4500000.0
1548,megasena,1571.0,05/02/2014,"Auditório em OSASCO, SP","['46', '60', '55', '32', '03', '29']","['03', '29', '32', '46', '55', '60']",[],null,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 176, 'valorPremio': 20467.75}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 11857, 'valorPremio': 434.02}]",,Sorteio realizado em Estúdio de TV.,1.0,1572.0,08/02/2014,[],61530392.0,7618277.16,5811425.14,33748171.78,41000000.0
1555,megasena,995.0,13/08/2008,"Caminhão da Sorte em BAURU, SP","['04', '54', '55', '36', '16', '31']","['04', '16', '31', '36', '54', '55']",[],,N/A,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 76, 'valorPremio': 24991.48}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6790, 'valorPremio': 279.73}]",[],,1.0,996.0,16/08/2008,[],0.0,2199250.45,1224733.92,24901410.33,30000000.0
1558,megasena,198.0,18/12/1999,"Caminhão da Sorte em MARINGÁ, PR","['40', '23', '01', '18', '35', '08']","['01', '08', '18', '23', '35', '40']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 125, 'valorPremio': 8881.02}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7134, 'valorPremio': 155.02}]",[],"Previsão prêmio próximo concurso R$5.000.000,00.",1.0,199.0,,[],0.0,14431475.93,0.0,3760278.08,0.0
1561,megasena,1691.0,01/04/2015,"Estúdio de TV em OSASCO, SP","['39', '45', '58', '10', '01', '24']","['01', '10', '24', '39', '45', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 145, 'valorPremio': 21660.17}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 9387, 'valorPremio': 477.97}]",[],,1.0,1692.0,04/04/2015,[],53645920.0,6746840.38,15518798.3,24620945.12,32000000.0
1566,megasena,641.0,23/02/2005,"Caminhão da Sorte em EMBU, SP","['17', '13', '33', '09', '01', '34']","['01', '09', '13', '17', '33', '34']",[],, ,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 31923289.19}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 366, 'valorPremio': 5766.38}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 20840, 'valorPremio': 100.89}]",[],"Estimativa de prêmio (SENA) para o próximo concurso: R$1.000.000,00.",0.0,642.0,26/02/2005,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}]",0.0,4897683.89,0.0,0.0,0.0
1567,megasena,571.0,12/06/2004,"Caminhão da Sorte em ALEGRE, ES","['14', '31', '12', '13', '51', '50']","['12', '13', '14', '31', '50', '51']",[],nan,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 69, 'valorPremio': 22294.35}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5572, 'valorPremio': 275.04}]",[],"Acumulou!!! Estimativa de prêmio (SENA) próximo concurso:R$27.000.000,00 (VINTE E SETE MILHÕES DE REAIS).",1.0,572.0,16/06/2004,[],0.0,3830537.69,0.0,24124014.99,0.0
