,loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
0,megasena,1551.0,27/11/2013,"Auditório em OSASCO, SP","['02', '23', '38', '15', '21', '19']","['02', '15', '19', '21', '23', '38']",,N/A,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2820316.51}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 131, 'valorPremio': 11687.25}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7631, 'valorPremio': 286.61}]",[],Sorteio realizado em Estúdio de TV.,0.0,1552.0,30/11/2013,"[{'ganhadores': 1, 'municipio': 'BOA VISTA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RR'}]",26151116.0,4782195.52,55716523.25,0.0,3000000.0
2,megasena,664.0,14/05/2005,"Caminhão da Sorte em PASSOS, MG","['12', '01', '55', '59', '38', '36']","['01', '12', '36', '38', '55', '59']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 74, 'valorPremio': 18450.77}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4971, 'valorPremio': 273.62}]",[],"ACUMULOU!!! Estimativa de prêmio (SENA) próximo concurso, a ser realizado em 18/05/2005: R$26.000.000,00.",1.0,665.0,18/05/2005,[],0.0,23857740.39,0.0,23857740.39,0.0
4,megasena,366.0,01/06/2002,"Caminhão da Sorte em Orlândia, SP","['06', '04', '51', '07', '21', '15']","['04', '06', '07', '15', '21', '51']",[],,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 41, 'valorPremio': 12721.16}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3489, 'valorPremio': 148.93}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$1.200.000,00.",1.0,367.0,05/06/2002,[],0.0,5048832.63,0.0,625880.91,0.0
5,megasena,537.0,11/02/2004,"Caminhão da Sorte em IBAITI, PR","['37', '03', '19', '34', '39', '07']","['03', '07', '19', '34', '37', '39']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2054340.05}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 128, 'valorPremio': 4366.34}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5345, 'valorPremio': 104.17}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$1.000.000,00.",0.0,538.0,14/02/2004,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RS'}]",0.0,2354230.53,0.0,0.0,0.0
7,megasena,2786.0,16/10/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['06', '17', '11', '51', '20', '40']","['06', '11', '17', '20', '40', '51']",[],,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 71, 'valorPremio': 54038.72}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5135, 'valorPremio': 1067.39}]",[],,1.0,2787.0,19/10/2024,[],66546110.0,8337773.84,107699050.1,33761273.32,42000000.0
15,megasena,2632.0,14/09/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['10', '57', '05', '56', '38', '27']","['05', '10', '27', '38', '56', '57']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 48, 'valorPremio': 33801.98}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 2911, 'valorPremio': 796.23}]",[],,1.0,2633.0,16/09/2023,[],28141205.0,10597131.05,81510468.6,5495433.6,9000000.0
21,megasena,2906.0,26/08/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['46', '41', '49', '33', '37', '17']","['17', '33', '37', '41', '46', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 33707841.37}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 43, 'valorPremio': 42601.48}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3250, 'valorPremio': 929.09}]",[],,0.0,2907.0,28/08/2025,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}]",45970242.0,6444418.85,91609267.08,0.0,3500000.0
25,megasena,632.0,19/01/2005,"Caminhão da Sorte em CALDAS NOVAS, GO","['02', '54', '48', '51', '19', '28']","['02', '19', '28', '48', '51', '54']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 26, 'valorPremio': 19697.02}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 1962, 'valorPremio': 260.03}]",[],"ACUMULOU! Estimativa de prêmio (SENA), próximo concurso: R$2.000.000,00 (Dois milhões de reais).",1.0,633.0,22/01/2005,[],0.0,2928942.27,0.0,896214.44,0.0
28,megasena,1371.0,14/03/2012,"Caminhão da Sorte em ITUPORANGA, SC","['47', '11', '08', '49', '03', '04']","['03', '04', '08', '11', '47', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 101, 'valorPremio': 12265.25}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7421, 'valorPremio': 238.47}]",[],,1.0,1372.0,17/03/2012,[],21159460.0,3889135.77,9753725.5,2281981.94,5000000.0
29,megasena,2561.0,04/02/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['22', '44', '56', '51', '37', '19']","['19', '22', '37', '44', '51', '56']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 393, 'valorPremio': 23693.33}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 19908, 'valorPremio': 668.17}]",[],,1.0,2562.0,08/02/2023,[],161502007.5,19895852.54,13502347.64,134030908.34,160000000.0
30,megasena,2572.0,11/03/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['24', '22', '03', '15', '07', '50']","['03', '07', '15', '22', '24', '50']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 101, 'valorPremio': 30374.17}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7223, 'valorPremio': 606.75}]",[],,1.0,2573.0,14/03/2023,[],53208981.0,11421597.23,23548904.75,9660950.91,16000000.0
32,megasena,377.0,10/07/2002,"Caminhão da Sorte em Guariba, SP","['46', '19', '03', '45', '12', '27']","['03', '12', '19', '27', '45', '46']",[],--,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 87, 'valorPremio': 6639.02}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5468, 'valorPremio': 105.23}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$4.200.000,00.",1.0,378.0,13/07/2002,[],0.0,4514193.1,0.0,3399042.3,0.0
35,megasena,169.0,29/05/1999,"Caminhão da Sorte em Ourinhos, SP","['52', '51', '37', '13', '21', '01']","['01', '13', '21', '37', '51', '52']",[], ,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 65, 'valorPremio': 13679.08}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4489, 'valorPremio': 198.07}]",[],,1.0,170.0,,[],0.0,9726253.91,0.0,1973804.91,0.0
36,megasena,744.0,08/03/2006,"Caminhão da Sorte em Diadema, SP","['26', '46', '12', '23', '39', '04']","['04', '12', '23', '26', '39', '46']",[],,nan,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 77, 'valorPremio': 10441.97}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5387, 'valorPremio': 148.7}]",[],"ACUMULOU!!! Estimativa de prêmio (sena) para o próximo concurso, a ser realizado em 11/03/2006: R$12.000.000,00.",1.0,745.0,11/03/2006,[],0.0,9937380.49,0.0,9937380.49,0.0
43,megasena,2482.0,18/05/2022,"ESPAÇO DA SORTE em SÃO PAULO, SP","['32', '01', '57', '44', '35', '45']","['01', '32', '35', '44', '45', '57']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 52, 'valorPremio': 82539.97}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5101, 'valorPremio': 1202.02}]",[],,1.0,2483.0,21/05/2022,[],74443518.0,14117383.23,50265872.77,43072091.08,53000000.0
45,megasena,18.0,08/07/1996,"Auditório em Brasília, DF","['37', '36', '56', '27', '42', '23']","['23', '27', '36', '37', '42', '56']",[], ,null,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 52, 'valorPremio': 13763.52}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4484, 'valorPremio': 159.61}]",[],,1.0,19.0,,[],0.0,0.0,0.0,858843.48,0.0
48,megasena,1426.0,2012-09-19,"Caminhão da Sorte em SÃO MATEUS, ES","['24', '44', '06', '15', '18', '30']","['06', '15', '18', '24', '30', '44']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 67, 'valorPremio': 19687.18}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5957, 'valorPremio': 316.32}]",[],,1.0,1427.0,22/09/2012,[],22530210.0,4173132.59,38601703.29,2429813.06,5500000.0
49,megasena,151.0,23/01/1999, em ,"['03', '43', '16', '56', '52', '20']","['03', '16', '20', '43', '52', '56']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 24091811.02}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 152, 'valorPremio': 14678.07}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 9869, 'valorPremio': 225.62}]",[],Ganhador da SENA do Estado do Rio Grande do Norte.,0.0,152.0,,[],0.0,3414620.08,0.0,0.0,0.0
53,megasena,1260.0,23/02/2011,"Caminhão da Sorte em TRAMANDAÍ, RS","['19', '23', '31', '53', '29', '41']","['19', '23', '29', '31', '41', '53']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 70, 'valorPremio': 30497.83}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5798, 'valorPremio': 526}]",[],,1.0,1261.0,26/02/2011,[],36464798.0,2471929.46,7868560.67,23628152.1,28000000.0
55,megasena,2522.0,21/09/2022,"ESPAÇO DA SORTE em SÃO PAULO, SP","['32', '04', '25', '39', '40', '05']","['04', '05', '25', '32', '39', '40']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 202, 'valorPremio': 54431.51}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 17799, 'valorPremio': 882.48}]",[],,1.0,2523.0,24/09/2022,[],190704505.5,29290806.85,91194443.37,144922165.99,170000000.0
63,megasena,2389.0,10/07/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['39', '30', '16', '51', '37', '40']","['16', '30', '37', '39', '40', '51']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 57, 'valorPremio': 69283.28}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 3887, 'valorPremio': 1451.41}]",[],,1.0,2390.0,14/07/2021,[],68495580.0,55677317.71,40755458.09,55677317.71,65000000.0
66,megasena,92.0,07/12/1997, em ,"['05', '23', '51', '03', '01', '24']","['01', '03', '05', '23', '24', '51']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 75, 'valorPremio': 9792.64}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5530, 'valorPremio': 132.56}]",[],,1.0,93.0,,[],0.0,2209390.53,0.0,1663783.45,0.0
69,megasena,1104.0,29/08/2009,"Caminhão da Sorte em BARRETOS, SP","['03', '35', '58', '49', '02', '06']","['02', '03', '06', '35', '49', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 95, 'valorPremio': 17867.29}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6982, 'valorPremio': 347.29}]",[],,1.0,1105.0,02/09/2009,[],28992726.0,18060804.99,34224899.83,18060804.99,21000000.0
70,megasena,159.0,1999-03-20,"Caminhão da Sorte em Brasília, DF","['16', '09', '50', '58', '11', '35']","['09', '11', '16', '35', '50', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2038170.67}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 57, 'valorPremio': 15735.49}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4124, 'valorPremio': 217.49}]",[],Ganhador da SENA do Estado do Paraná.,0.0,160.0,,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",0.0,9525959.94,0.0,0.0,0.0
71,megasena,54.0,16/03/1997,"Auditório em Brasília, DF","['05', '21', '09', '56', '18', '36']","['05', '09', '18', '21', '36', '56']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 7469653.99}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 207, 'valorPremio': 7033.61}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 13067, 'valorPremio': 111.2}]",,Ganhadores dos estados: BA e SP.,0.0,55.0,,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",0.0,4640301.36,0.0,0.0,0.0
72,megasena,2723.0,11/05/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['06', '12', '28', '60', '19', '50']","['06', '12', '19', '28', '50', '60']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 46726380.41}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 100, 'valorPremio': 38633.4}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6090, 'valorPremio': 906.24}]",[],,0.0,2724.0,14/05/2024,"[{'ganhadores': 1, 'municipio': 'FUNDAO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'ES'}]",67007320.0,16041074.14,52327958.92,0.0,2500000.0
75,megasena,2077.0,12/09/2018,"CAMINHÃO DA SORTE em SERRA NEGRA, SP","['37', '13', '16', '26', '39', '35']","['13', '16', '26', '35', '37', '39']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 27758694.68}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 117, 'valorPremio': 20198.69}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6080, 'valorPremio': 555.27}]",[],,0.0,2078.0,15/09/2018,"[{'ganhadores': 1, 'municipio': 'ARAPUTANGA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MT'}]",40989767.0,7401073.01,49714439.67,0.0,2500000.0
76,megasena,1034.0,27/12/2008,"Caminhão da Sorte em IPORÃ, PR","['20', '42', '01', '03', '49', '18']","['01', '03', '18', '20', '42', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 61, 'valorPremio': 19548.37}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4635, 'valorPremio': 257.27}]",[],,1.0,1035.0,31/12/2008,[],0.0,29557027.04,29557027.04,29557027.04,35000000.0
77,megasena,1354.0,14/01/2012,"Caminhão da Sorte em Paraíba do Sul, RJ","['02', '42', '08', '49', '48', '38']","['02', '08', '38', '42', '48', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2815977.4}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 71, 'valorPremio': 21530.61}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4842, 'valorPremio': 451.01}]",,,0.0,1355.0,18/01/2012,"[{'ganhadores': 1, 'municipio': 'INDAIAL', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SC'}]",26110882.0,6994201.26,1589591.26,0.0,9500000.0
78,megasena,395.0,11/09/2002,"Caminhão da Sorte em Feira de Santana, BA","['11', '58', '31', '14', '10', '20']","['10', '11', '14', '20', '31', '58']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1843709.96}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 27, 'valorPremio': 20584.31}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 2328, 'valorPremio': 237.84}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$800.000,00.",0.0,396.0,14/09/2002,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'DF'}]",0.0,3413831.25,0.0,0.0,0.0
80,megasena,887.0,2007-07-25,"Caminhão da Sorte em DOMINGOS MARTINS, ES","['44', '12', '32', '21', '01', '34']","['01', '12', '21', '32', '34', '44']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 79, 'valorPremio': 15886.22}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4885, 'valorPremio': 255.94}]",[],,1.0,888.0,28/07/2007,[],0.0,4440376.71,0.0,16421104.66,20000000.0
81,megasena,136.0,10/10/1998, em ,"['17', '25', '45', '38', '01', '59']","['01', '17', '25', '38', '45', '59']",[],,-,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 126, 'valorPremio': 8435.36}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 7403, 'valorPremio': 143.29}]",[],,1.0,137.0,,[],0.0,11584169.17,0.0,3463871.17,0.0
85,megasena,2076.0,08/09/2018,"Caminhão da Sorte em SÃO BENTO DO SUL, SC","['06', '15', '43', '05', '12', '22']","['05', '06', '12', '15', '22', '43']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 86, 'valorPremio': 22660.94}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 5364, 'valorPremio': 519.02}]",[],,1.0,2077.0,12/09/2018,[],33802037.5,4664682.47,49092532.72,23405346.1,28000000.0
89,megasena,1422.0,05/09/2012,"Caminhão da Sorte em SÃO LUÍS, MA","['17', '44', '02', '05', '13', '39']","['02', '05', '13', '17', '39', '44']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 2662243.82}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 250, 'valorPremio': 5780.87}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 12007, 'valorPremio': 171.94}]",[],,0.0,1423.0,08/09/2012,"[{'ganhadores': 1, 'municipio': 'CAÇAPAVA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",24685402.0,7850910.01,36980998.47,0.0,2000000.0
93,megasena,2654.0,09/11/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['23', '17', '47', '51', '36', '11']","['11', '17', '23', '36', '47', '51']",[],,--,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 11906870.24}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 66, 'valorPremio': 34857.25}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4104, 'valorPremio': 800.81}]",[],,0.0,2655.0,11/11/2023,"[{'ganhadores': 1, 'municipio': 'FLORIANOPOLIS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SC'}]",39902150.0,24165201.83,98882036.64,24165201.83,30000000.0
97,megasena,1358.0,28/01/2012,"Caminhão da Sorte em Santos, SP","['16', '15', '37', '03', '35', '47']","['03', '15', '16', '35', '37', '47']",[],,--,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 145, 'valorPremio': 16856.7}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 10440, 'valorPremio': 334.45}]",[],,1.0,1359.0,01/02/2012,[],41749108.0,9469461.5,3741741.67,22059253.65,27000000.0
101,megasena,1440.0,07/11/2012,"Caminhão da Sorte em REALEZA, PR","['06', '28', '56', '02', '36', '51']","['02', '06', '28', '36', '51', '56']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 24405605.1}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 148, 'valorPremio': 19463.78}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 11068, 'valorPremio': 371.81}]",[],,0.0,1441.0,10/11/2012,"[{'ganhadores': 1, 'municipio': 'RIALMA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'GO'}]",49203458.0,3335476.51,47817072.71,0.0,2000000.0
104,megasena,920.0,2007-11-17,"Caminhão da Sorte em BAGÉ, RS","['17', '57', '55', '24', '52', '05']","['05', '17', '24', '52', '55', '57']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 94, 'valorPremio': 12657.72}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6584, 'valorPremio': 180.04}]",[],,1.0,921.0,21/11/2007,[],0.0,1487281.56,0.0,14235226.59,16000000.0
105,megasena,399.0,25/09/2002,"Caminhão da Sorte em Tambaú, SP","['59', '55', '16', '27', '47', '11']","['11', '16', '27', '47', '55', '59']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 20, 'valorPremio': 19537}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 1730, 'valorPremio': 225.01}]",,"Estimativa de prêmio (SENA) próximo concurso: R$7.000.000,00.",1.0,400.0,28/09/2002,[],0.0,5676171.41,0.0,5676171.41,0.0
108,megasena,280.0,14/07/2001,"Caminhão da Sorte em JABOTICABAL, SP","['05', '16', '30', '25', '58', '20']","['05', '16', '20', '25', '30', '58']",,,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 192, 'valorPremio': 11199.47}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 14673, 'valorPremio': 146}]",[],"Estimativa prêmio(sena) próximo concurso: R$23.000.000,00.",1.0,281.0,,[],0.0,1720239.13,0.0,19351758.16,0.0
111,megasena,1448.0,05/12/2012,"Auditório em SÃO PAULO, SP","['25', '29', '36', '01', '56', '60']","['01', '25', '29', '36', '56', '60']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 83, 'valorPremio': 21898.01}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 6212, 'valorPremio': 417.97}]",[],SORTEIO REALIZADO EM ESTÚDIO DE TV.,1.0,1449.0,08/12/2012,[],31044854.0,9533772.56,52122248.43,6358254.43,10000000.0
115,megasena,317.0,28/11/2001,"Caminhão da Sorte em Telêmaco Borba, PR","['27', '20', '48', '16', '30', '35']","['16', '20', '27', '30', '35', '48']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 23, 'valorPremio': 18858.99}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 2088, 'valorPremio': 206.96}]",[],"Estimativa prêmio (SENA) próximo concurso: R$2.200.000,00.",1.0,318.0,01/12/2001,[],0.0,5674702.0,0.0,1325010.22,0.0
116,megasena,555.0,2004-04-17,"Caminhão da Sorte em SÃO FRANCISCO DO SUL, SC","['49', '05', '23', '33', '45', '31']","['05', '23', '31', '33', '45', '49']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 23810057.19}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 152, 'valorPremio': 13350.07}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 10733, 'valorPremio': 188.35}]",[],"Estimativa de prêmio (SENA) próximo concurso: R$1.300.000,00 (UM MILHÃO E TREZENTOS MIL REAIS).",0.0,556.0,21/04/2004,"[{'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",0.0,2536512.87,0.0,0.0,0.0
121,megasena,2334.0,13/01/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['22', '04', '20', '25', '13', '60']","['04', '13', '20', '22', '25', '60']",[],,,"[{'descricao': '6 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 11854874.71}, {'descricao': '5 acertos', 'faixa': 2, 'ganhadores': 66, 'valorPremio': 34602.68}, {'descricao': '4 acertos', 'faixa': 3, 'ganhadores': 4609, 'valorPremio': 707.86}]",[],,0.0,2335.0,16/01/2021,"[{'ganhadores': 1, 'municipio': 'SERRINHA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}]",39610737.0,7451635.52,1693553.58,7451635.52,13000000.0
