loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
lotofacil,2658.0,08/11/2022,"ESPAÇO DA SORTE em SÃO PAULO, SP","['08', '14', '12', '09', '05', '04', '18', '16', '21', '03', '02', '24', '01', '15', '10']","['01', '02', '03', '04', '05', '08', '09', '10', '12', '14', '15', '16', '18', '21', '24']",[], ,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1126597.18}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 193, 'valorPremio': 1748.49}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 6715, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 89829, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 509851, 'valorPremio': 5}]",[],,0.0,2659.0,09/11/2022,"[{'ganhadores': 1, 'municipio': 'SAO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",14328180.0,1674730.22,17772883.18,0.0,1500000.0
lotofacil,1388.0,15/07/2016,"Caminhão da Sorte em BARREIRAS, BA","['25', '11', '10', '15', '05', '19', '08', '12', '03', '21', '07', '18', '01', '23', '20']","['01', '03', '05', '07', '08', '10', '11', '12', '15', '18', '19', '20', '21', '23', '25']",[],--,N/A,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 13, 'valorPremio': 79406.89}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 1252, 'valorPremio': 362.42}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 32128, 'valorPremio': 20}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 300963, 'valorPremio': 8}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1144718, 'valorPremio': 4}]",[],,0.0,1389.0,18/07/2016,"[{'ganhadores': 1, 'municipio': 'ITABUNA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'SALVADOR', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'COROMANDEL', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'Curitiba', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}, {'ganhadores': 1, 'municipio': 'Florianópolis', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SC'}, {'ganhadores': 1, 'municipio': 'LAGARTO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SE'}, {'ganhadores': 1, 'municipio': 'CAMPINAS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'GUARAREMA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'IGARAPAVA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'Ribeirão Preto', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SERTÃOZINHO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SÃO JOSÉ DOS CAMPOS', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SÃO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",22832914.0,0.0,53659969.97,0.0,1700000.0
lotofacil,3224.0,19/10/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['06', '01', '05', '17', '20', '18', '10', '23', '16', '03', '22', '25', '02', '08', '14']","['01', '02', '03', '05', '06', '08', '10', '14', '16', '17', '18', '20', '22', '23', '25']",, ,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 705550.28}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 308, 'valorPremio': 1372.33}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 10822, 'valorPremio': 30}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 112746, 'valorPremio': 12}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 580780, 'valorPremio': 6}]",,,0.0,3225.0,21/10/2024,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}, {'ganhadores': 1, 'municipio': 'PONTAL', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",19408710.0,930249.63,14103005.7,930249.63,1700000.0
lotofacil,836.0,30/11/2012,"Auditório em SÃO PAULO , SP","['09', '18', '12', '15', '04', '10', '14', '21', '20', '16', '25', '08', '07', '22', '02']","['02', '04', '07', '08', '09', '10', '12', '14', '15', '16', '18', '20', '21', '22', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 4, 'valorPremio': 358628.95}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 953, 'valorPremio': 661.65}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 26739, 'valorPremio': 12.5}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 271546, 'valorPremio': 5}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1199701, 'valorPremio': 2.5}]",[],"SORTEIO REALIZADO NO ESTÚDIO DE TV. VALOR LÍQUIDO ACUMULADO PARA O CONCURSO ESPECIAL DA INDEPENDÊNCIA: R$ 12.919.644,06.",0.0,837.0,03/12/2012,"[{'ganhadores': 1, 'municipio': 'JUAZEIRO DO NORTE', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'CE'}, {'ganhadores': 1, 'municipio': 'SEROPÉDICA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}, {'ganhadores': 1, 'municipio': 'SUD MENNUCCI', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}, {'ganhadores': 1, 'municipio': 'SÃO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",17819526.25,0.0,0.0,0.0,1500000.0
lotofacil,2175.0,2021-03-08,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['03', '19', '16', '07', '23', '12', '10', '17', '05', '14', '15', '11', '01', '13', '22']","['01', '03', '05', '07', '10', '11', '12', '13', '14', '15', '16', '17', '19', '22', '23']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 1371785.96}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 245, 'valorPremio': 1677.15}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 10081, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 123996, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 653000, 'valorPremio': 5}]",[],,0.0,2176.0,09/03/2021,"[{'ganhadores': 1, 'municipio': 'APUCARANA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}]",18264780.0,1336719.41,51953280.38,0.0,1500000.0
lotofacil,3396.0,20/05/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['04', '02', '19', '03', '11', '05', '22', '17', '06', '15', '12', '16', '01', '07', '10']","['01', '02', '03', '04', '05', '06', '07', '10', '11', '12', '15', '16', '17', '19', '22']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 275, 'valorPremio': 1812.68}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 11177, 'valorPremio': 30}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 95035, 'valorPremio': 12}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 537849, 'valorPremio': 6}]",[],,1.0,3397.0,21/05/2025,[],19496112.0,1858906.41,98007505.57,1664183.18,5000000.0
lotofacil,3516.0,18/10/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['12', '03', '11', '15', '20', '25', '23', '14', '18', '02', '17', '13', '19', '06', '21']","['02', '03', '06', '11', '12', '13', '14', '15', '17', '18', '19', '20', '21', '23', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 4715324.16}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 260, 'valorPremio': 2335.49}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 11428, 'valorPremio': 35}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 155771, 'valorPremio': 14}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 849037, 'valorPremio': 7}]",[],,0.0,3517.0,20/10/2025,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}]",34703956.0,1810978.61,17055911.5,0.0,1800000.0
lotofacil,237.0,16/07/2007,"Caminhão da Sorte em IPAMERI, GO","['13', '12', '07', '06', '05', '19', '23', '16', '04', '20', '22', '09', '18', '15', '21']","['04', '05', '06', '07', '09', '12', '13', '15', '16', '18', '19', '20', '21', '22', '23']",[],N/A,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 5, 'valorPremio': 545832.17}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 759, 'valorPremio': 926.91}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 22024, 'valorPremio': 10}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 267999, 'valorPremio': 4}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1388224, 'valorPremio': 2}]",[],,0.0,238.0,19/07/2007,"[{'ganhadores': 2, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PR'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SE'}, {'ganhadores': 1, 'municipio': '', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",0.0,0.0,0.0,0.0,1000000.0
lotofacil,2143.0,27/01/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['11', '23', '17', '25', '03', '20', '18', '09', '01', '19', '21', '14', '10', '06', '02']","['01', '02', '03', '06', '09', '10', '11', '14', '17', '18', '19', '20', '21', '23', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 400, 'valorPremio': 938.28}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 12785, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 123231, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 653120, 'valorPremio': 5}]",[],"ACUMULADO PARA O PRÓXIMO CONCURSO R$ 1.252.976,26.",1.0,2144.0,28/01/2021,[],17772957.5,841291.76,40098161.45,1252976.26,3500000.0
lotofacil,1929.0,14/02/2020," em SÃO PAULO, SP","['07', '19', '10', '13', '02', '20', '25', '15', '03', '22', '11', '04', '09', '01', '08']","['01', '02', '03', '04', '07', '08', '09', '10', '11', '13', '15', '19', '20', '22', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 5, 'valorPremio': 437513.87}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 458, 'valorPremio': 1469.65}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 17535, 'valorPremio': 25}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 223311, 'valorPremio': 10}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 1206826, 'valorPremio': 5}]",[],,0.0,1930.0,17/02/2020,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}, {'ganhadores': 1, 'municipio': 'EUSEBIO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'CE'}, {'ganhadores': 1, 'municipio': 'GOIANIA', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'GO'}, {'ganhadores': 1, 'municipio': 'VITORIA DE SANTO ANTAO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PE'}, {'ganhadores': 1, 'municipio': 'RIO DE JANEIRO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'RJ'}]",31172917.5,0.0,38048317.49,0.0,2500000.0
lotofacil,2983.0,19/12/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['09', '03', '25', '13', '12', '15', '24', '19', '01', '08', '06', '07', '23', '02', '04']","['01', '02', '03', '04', '06', '07', '08', '09', '12', '13', '15', '19', '23', '24', '25']",[],,,"[{'descricao': '15 acertos', 'faixa': 1, 'ganhadores': 3, 'valorPremio': 461840.68}, {'descricao': '14 acertos', 'faixa': 2, 'ganhadores': 219, 'valorPremio': 1895.05}, {'descricao': '13 acertos', 'faixa': 3, 'ganhadores': 7524, 'valorPremio': 30}, {'descricao': '12 acertos', 'faixa': 4, 'ganhadores': 101928, 'valorPremio': 12}, {'descricao': '11 acertos', 'faixa': 5, 'ganhadores': 551548, 'valorPremio': 6}]",,,0.0,2984.0,20/12/2023,"[{'ganhadores': 1, 'municipio': 'CANAL ELETRONICO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': '--'}, {'ganhadores': 1, 'municipio': 'SALVADOR', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'BA'}, {'ganhadores': 1, 'municipio': 'CAMPINA GRANDE', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PB'}]",18340464.0,671995.52,35884945.58,0.0,1700000.0
