loteria,concurso,data,local,dezenasOrdemSorteio,dezenas,trevos,timeCoracao,mesSorte,premiacoes,estadosPremiados,observacao,acumulou,proximoConcurso,dataProximoConcurso,localGanhadores,valorArrecadado,valorAcumuladoConcurso_0_5,valorAcumuladoConcursoEspecial,valorAcumuladoProximoConcurso,valorEstimadoProximoConcurso
diadesorte,1126.0,09/10/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['25', '15', '18', '04', '19', '03', '21']","['03', '04', '15', '18', '19', '21', '25']",[],,Julho,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 48, 'valorPremio': 3117.43}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1950, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 25898, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 67380, 'valorPremio': 2.5}]",[],,1.0,1127.0,11/10/2025,[],2418917.5,0.0,0.0,1317852.88,1700000.0
diadesorte,444.0,15/04/2021,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['10', '31', '06', '26', '02', '22', '05']","['02', '05', '06', '10', '22', '26', '31']",[],,Abril,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 34, 'valorPremio': 2169.86}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1129, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 15657, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 63939, 'valorPremio': 2}]",[],,1.0,445.0,17/04/2021,[],1301952.0,0.0,0.0,172142.0,350000.0
diadesorte,1042.0,22/03/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['08', '28', '06', '31', '16', '29', '27']","['06', '08', '16', '27', '28', '29', '31']",[],,Maio,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 184486.92}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 36, 'valorPremio': 2196.28}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1040, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 14009, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 45528, 'valorPremio': 2.5}]",[],,0.0,1043.0,25/03/2025,"[{'ganhadores': 1, 'municipio': 'SAO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",1339047.5,0.0,0.0,0.0,150000.0
diadesorte,329.0,14/07/2020,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['19', '09', '02', '17', '18', '06', '22']","['02', '06', '09', '17', '18', '19', '22']",[],,Março,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 58, 'valorPremio': 2069.31}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2277, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 29721, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 95947, 'valorPremio': 2}]",[],,1.0,330.0,16/07/2020,[],2140348.0,0.0,0.0,280046.2,600000.0
diadesorte,1039.0,15/03/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['21', '10', '07', '22', '01', '05', '19']","['01', '05', '07', '10', '19', '21', '22']",[],,Setembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 41, 'valorPremio': 1890.62}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1241, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 14449, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 53828, 'valorPremio': 2.5}]",[],,1.0,1040.0,18/03/2025,[],1386072.5,0.0,0.0,180869.36,400000.0
diadesorte,494.0,2021-08-14,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['26', '20', '03', '13', '25', '30', '08']","['03', '08', '13', '20', '25', '26', '30']",[],,Janeiro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 75, 'valorPremio': 1961.04}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2118, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 29397, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 77266, 'valorPremio': 2}]",[],,1.0,495.0,17/08/2021,[],2341066.0,0.0,0.0,1778113.43,2000000.0
diadesorte,150.0,14/05/2019,"Espaço Loterias Caixa em SÃO PAULO, SP","['17', '01', '26', '29', '07', '02', '16']","['01', '02', '07', '16', '17', '26', '29']",[],,Agosto,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 1, 'valorPremio': 762631.31}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 44, 'valorPremio': 4207.87}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2258, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 34438, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 121314, 'valorPremio': 2}]",[],,0.0,151.0,16/05/2019,"[{'ganhadores': 1, 'municipio': 'SÃO PAULO', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'SP'}]",3015482.0,0.0,0.0,0.0,350000.0
diadesorte,758.0,16/05/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['31', '03', '20', '02', '22', '26', '07']","['02', '03', '07', '20', '22', '26', '31']",[],,Julho,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 24, 'valorPremio': 3400.84}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1179, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 14813, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 37963, 'valorPremio': 2.5}]",[],,1.0,759.0,18/05/2023,[],1354360.0,0.0,0.0,354159.98,550000.0
diadesorte,900.0,13/04/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['10', '09', '14', '22', '16', '13', '06']","['06', '09', '10', '13', '14', '16', '22']",[],,Setembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 37, 'valorPremio': 2659.54}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1367, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 18303, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 70060, 'valorPremio': 2.5}]",[],,1.0,901.0,16/04/2024,[],1774915.0,0.0,0.0,935484.53,1200000.0
diadesorte,847.0,2023-12-09,"ESPAÇO DA SORTE em SÃO PAULO, SP","['05', '18', '24', '27', '20', '31', '26']","['05', '18', '20', '24', '26', '27', '31']",[],nan,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 50, 'valorPremio': 2784.75}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2211, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 27874, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 109993, 'valorPremio': 2.5}]",,,1.0,848.0,12/12/2023,[],2612832.5,0.0,0.0,1803745.57,2200000.0
diadesorte,1134.0,28/10/2025,"ESPAÇO DA SORTE em SÃO PAULO, SP","['02', '24', '28', '31', '20', '10', '14']","['02', '10', '14', '20', '24', '28', '31']",,,Agosto,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 32, 'valorPremio': 2700.99}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1279, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 15471, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 48651, 'valorPremio': 2.5}]",[],,1.0,1135.0,30/10/2025,[],1467312.5,0.0,0.0,394575.16,600000.0
diadesorte,913.0,14/05/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['14', '12', '19', '26', '27', '08', '17']","['08', '12', '14', '17', '19', '26', '27']",[],,Abril,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 34, 'valorPremio': 1954.77}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1095, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 13448, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 42976, 'valorPremio': 2.5}]",[],,1.0,914.0,16/05/2024,[],1196172.5,0.0,0.0,155078.03,300000.0
diadesorte,708.0,17/01/2023,"ESPAÇO DA SORTE em SÃO PAULO, SP","['31', '18', '29', '03', '17', '20', '15']","['03', '15', '17', '18', '20', '29', '31']",[],,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 2, 'valorPremio': 1089216.5}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 105, 'valorPremio': 1784.18}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 3546, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 44648, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 107251, 'valorPremio': 2}]",[],,0.0,709.0,19/01/2023,"[{'ganhadores': 1, 'municipio': 'GOVERNADOR VALADARES', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'MG'}, {'ganhadores': 1, 'municipio': 'SUME', 'nomeFatansiaUL': '', 'serie': '', 'posicao': 1, 'uf': 'PB'}]",3128264.0,0.0,0.0,0.0,150000.0
diadesorte,558.0,22/01/2022,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['21', '27', '26', '03', '05', '17', '11']","['03', '05', '11', '17', '21', '26', '27']",[],--,Janeiro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 37, 'valorPremio': 2732.38}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1753, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 23332, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 72503, 'valorPremio': 2}]",,,1.0,559.0,25/01/2022,[],1741206.0,0.0,0.0,960866.72,1200000.0
diadesorte,963.0,12/09/2024,"ESPAÇO DA SORTE em SÃO PAULO, SP","['03', '31', '21', '06', '20', '27', '02']","['02', '03', '06', '20', '21', '27', '31']",[],N/A,Maio,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 35, 'valorPremio': 2913.52}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1282, 'valorPremio': 25}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 16067, 'valorPremio': 5}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 50787, 'valorPremio': 2.5}]",[],,1.0,964.0,14/09/2024,[],1672295.0,0.0,0.0,696266.33,900000.0
diadesorte,290.0,14/04/2020," em SÃO PAULO, SP","['18', '13', '12', '23', '05', '21', '29']","['05', '12', '13', '18', '21', '23', '29']",[],,Fevereiro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 72, 'valorPremio': 1475.02}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2234, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 27564, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 74080, 'valorPremio': 2}]",[],,1.0,291.0,16/04/2020,[],1865784.0,0.0,0.0,415859.68,700000.0
diadesorte,300.0,07/05/2020,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['10', '24', '17', '16', '15', '31', '25']","['10', '15', '16', '17', '24', '25', '31']",[],,Novembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 78, 'valorPremio': 2537.15}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2479, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 36399, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 129369, 'valorPremio': 2}]",,,1.0,301.0,09/05/2020,[],3220952.0,0.0,0.0,1868077.76,2200000.0
diadesorte,502.0,2021-09-02,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['26', '18', '27', '01', '08', '31', '05']","['01', '05', '08', '18', '26', '27', '31']",,,Dezembro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 44, 'valorPremio': 2319.61}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 1512, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 19924, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 63831, 'valorPremio': 2}]",[],,1.0,503.0,04/09/2021,[],1669228.0,0.0,0.0,419709.51,600000.0
diadesorte,453.0,2021-05-08,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP","['17', '13', '03', '21', '08', '23', '01']","['01', '03', '08', '13', '17', '21', '23']",[],,Outubro,"[{'descricao': '7 acertos', 'faixa': 1, 'ganhadores': 0, 'valorPremio': 0}, {'descricao': '6 acertos', 'faixa': 2, 'ganhadores': 65, 'valorPremio': 1683.98}, {'descricao': '5 acertos', 'faixa': 3, 'ganhadores': 2097, 'valorPremio': 20}, {'descricao': '4 acertos', 'faixa': 4, 'ganhadores': 26871, 'valorPremio': 4}, {'descricao': 'Mês da Sorte', 'faixa': 5, 'ganhadores': 88809, 'valorPremio': 2}]",[],,1.0,454.0,11/05/2021,[],1956800.0,0.0,0.0,906989.51,1100000.0
